Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
RDH11,0.733838345531626,11.6903893430183,1.49019722360762,0.153439005422932,0.454395712368248,-5.27923145585969
KHDRBS1,0.527442648639189,12.0055134043837,1.48902521008656,0.153744666624922,0.45453825224956,-5.28081734930724
SRC,0.365352109359093,13.706118425316,1.48802929376004,0.154004796019578,0.454545928051098,-5.28216420039342
ARF6,0.291951754508083,14.4036938419814,1.48700138898193,0.154273660988081,0.45457931827039,-5.28355358017857
DEFA1B,-0.235635545791176,20.7000117750864,-1.48563329631818,0.154632107412209,0.454876115970914,-5.28540162547402
RPS3,0.643012590439036,11.6907042349795,1.48016400350251,0.156071945717567,0.457550457201474,-5.29277647215951
RAB8A,0.402788548028237,14.5285740432874,1.48001279431398,0.156111909031665,0.457550457201474,-5.29298006426014
MAP2K3,0.605127914233659,11.3596049363648,1.47922996796721,0.156318938069399,0.457550457201474,-5.2940338243961
FLII,-0.382670099022464,12.0521961696497,-1.47582596573675,0.157221800058542,0.459431253482329,-5.29861090457146
HSP90AB1,0.261055468173598,13.8743924053748,1.47478862032403,0.157497791461874,0.459477027983815,-5.30000410748847
SNX2,0.347159750617359,12.2930633461829,1.47069499461434,0.158590810480592,0.46190227804991,-5.30549459629993
LRRC59,0.342723353801233,13.1708783749355,1.46640918827584,0.159741807430617,0.464488122100558,-5.31123010263275
CTTN,0.34442087267358,14.1667496351031,1.4647603739445,0.160186434410851,0.464813808937205,-5.31343316121107
F5,-0.214712729735822,22.05869476201,-1.46309313045345,0.160637062229918,0.464813808937205,-5.31565887673736
CNN2,0.3299029905249,15.4480291547325,1.46236234342207,0.160834908868063,0.464813808937205,-5.31663382957749
IGHV6-1,0.261022876797664,17.5903574332319,1.46126430206175,0.161132557932423,0.464813808937205,-5.31809802598653
ITGB3,0.558265991658304,17.0098383694251,1.46099304327289,0.161206158255162,0.464813808937205,-5.31845960690115
CDK6,-0.390781703017479,13.2562055032838,-1.46015426284397,0.161433917778191,0.464813808937205,-5.31957734748222
CCT6A,0.474460198179873,12.7950837096508,1.45757852922013,0.162134971013659,0.465496019383917,-5.32300657690694
TWF2,0.429253836013559,13.3821698157653,1.45734619309322,0.162198329700345,0.465496019383917,-5.32331566713132
HMGN2,-0.497584405273556,13.7395149436563,-1.45618515085636,0.162515252729368,0.465648410823597,-5.32485969115227
FERMT3,0.395032722919065,18.1972971097919,1.45154640360568,0.163786523757,0.468439583932602,-5.33101895868572
GTPBP2,-0.255368792264022,18.3672338990712,-1.45069692545424,0.164020205592265,0.468439583932602,-5.33214521600564
VWF,-0.450238333179033,18.6535837280626,-1.44971036858774,0.16429193806653,0.46845762631248,-5.33345256640843
SLC44A2,-0.706287589685944,10.2833901910721,-1.44661468459731,0.165146986484888,0.46947708006555,-5.33755032640952
PHPT1,0.455025913160435,9.67880293021692,1.4464901695203,0.165181454232695,0.46947708006555,-5.33771500326992
DNM2,0.268744352036058,13.1379012082415,1.44519405823976,0.165540587175844,0.469741376793192,-5.33942850830064
SCP2,-0.673339799210491,11.0586139494911,-1.44249161713777,0.166291442173572,0.471114599416301,-5.34299734841601
AP3B1,0.379373546125748,13.5305760077581,1.44093715100569,0.166724596865203,0.471584797222891,-5.34504779447034
ADD3,-1.12518587313466,12.5767566312792,-1.43841660633391,0.167428905390136,0.472247464750306,-5.34836886545289
PCBP1,0.314607517235039,13.80134402863,1.43818407942761,0.167494001662148,0.472247464750306,-5.34867501238125
DARS1,0.417455843642736,12.2457847239535,1.43698985994781,0.167828650202983,0.472436311974905,-5.35024671776345
RWDD1,0.474364646731459,12.1305342983075,1.43141747798114,0.169397367543543,0.476092919927316,-5.35756688833048
GNA13,0.812604702476448,11.1334295041399,1.42962561399804,0.169904333746596,0.476188814468863,-5.35991600467174
IGHV3OR16-9,-0.234611061792044,20.3185798835386,-1.42890596500864,0.170108288540327,0.476188814468863,-5.36085880343209
APRT,0.358575281797385,14.3826839050697,1.4283985576336,0.170252211795406,0.476188814468863,-5.36152332296519
C6orf201,0.236416736039959,21.5302484389259,1.4274882305876,0.170510668976953,0.476188814468863,-5.36271505359963
ORM2,-0.211601450093226,18.9217044017548,-1.42554102850229,0.171064582703227,0.476981024441069,-5.36526216539726
PRSS3,0.885304104406888,12.2220217968025,1.42197302839116,0.172083350635095,0.479064848376881,-5.36992228507096
VCAM1,-0.345184410881854,9.82715806330477,-1.41989011521596,0.172680355392657,0.479969806721324,-5.37263847641023
YWHAZ,0.504507701537154,16.9727847594807,1.41649001726526,0.173658499501764,0.481929640912916,-5.37706554150506
DPT,-0.250431893712239,14.9044559859976,-1.41225910328552,0.174881917565769,0.484562927007195,-5.38256260078517
IGHM,-0.208939913837948,23.0684313281076,-1.41023827456204,0.175468720942186,0.484571877112568,-5.38518357410526
PLIN3,0.275640510272191,11.1639693995315,1.40970339327988,0.175624304823631,0.484571877112568,-5.38587680483013
DUSP3,0.508456876286961,9.59155439498793,1.40941312785501,0.175708782635718,0.484571877112568,-5.386252914639
ANGPTL6,-0.185546374611465,13.0473673493636,-1.40427942800354,0.17720831383979,0.487944889122043,-5.39289469290206
NACA,-0.314381804952535,11.6823171644229,-1.40240700561925,0.177757806739174,0.488078137833689,-5.39531235527445
HACD3,-1.47207576782158,13.7178103171203,-1.40161881927477,0.17798952397317,0.488078137833689,-5.39632928865776
SART3,-0.398923343636893,12.6701700549799,-1.4012898783256,0.178086300716654,0.488078137833689,-5.39675355988919
CD14,0.232967908106623,16.3279933927699,1.40004042319069,0.178454286343641,0.488328395963607,-5.39836439558493
MOB1B,0.411517566029502,12.0568298407325,1.39648855138892,0.179503724511318,0.489759313350104,-5.4029373142167
IGHV3-73,-0.223717275576088,16.5054502418144,-1.39639251792962,0.179532167556667,0.489759313350104,-5.40306082539753
